,Thi_layer_P,Six_layer_P,Last_layer,PProb_thi,PProb_six,PProb_las,True_labels
0,0,1,0,0.51915866,0.524096,0.5490912,1
1,0,0,0,0.5229933,0.83241284,0.8932002,1
2,1,0,0,0.54864305,0.6755687,0.8223526,1
3,1,0,0,0.55042094,0.77802646,0.7375171,1
4,0,0,0,0.5357182,0.77605677,0.8437855,1
5,0,0,0,0.51752853,0.9185181,0.9293963,1
6,0,0,0,0.5316092,0.83164763,0.8543703,1
7,1,0,0,0.5101054,0.7145182,0.7049185,1
8,1,0,0,0.5217614,0.76845515,0.88025826,1
9,1,1,1,0.5204439,0.79646325,0.66299534,1
10,1,0,0,0.53366727,0.5518166,0.7298023,1
11,1,0,0,0.53013754,0.68179816,0.79754454,1
12,1,0,0,0.5091164,0.9147745,0.9266994,1
13,0,0,0,0.5051622,0.8142507,0.876034,1
14,1,0,1,0.5286361,0.5008351,0.5074671,1
15,1,0,0,0.50220776,0.9025164,0.9137964,1
16,0,0,0,0.5037469,0.8705767,0.9015699,1
17,0,0,0,0.51573527,0.8730642,0.9002454,1
18,0,0,0,0.54192805,0.8605325,0.8773809,1
19,1,0,0,0.5205126,0.75580215,0.84488887,1
20,0,0,0,0.5169882,0.64299613,0.6867731,1
21,0,0,0,0.50926226,0.8077662,0.8169792,1
22,0,0,0,0.5010361,0.7776225,0.833848,1
23,0,0,0,0.53347766,0.7523674,0.79851764,1
24,0,0,0,0.51690924,0.8010316,0.87293166,1
25,0,0,0,0.5138277,0.5953529,0.73482823,1
26,1,0,0,0.51570123,0.8615361,0.8868725,1
27,1,0,0,0.5259166,0.51004803,0.5308803,1
28,1,0,0,0.55167705,0.7343763,0.8013094,1
29,1,0,0,0.50843674,0.7627655,0.74192166,1
30,0,0,0,0.5126993,0.90061074,0.920821,1
31,0,0,0,0.5168847,0.8031466,0.8513628,1
32,1,1,0,0.5312495,0.55819505,0.56488514,1
33,0,0,0,0.5126845,0.7208328,0.79011965,1
34,0,0,0,0.5213006,0.8580248,0.888481,1
35,0,0,0,0.51259905,0.6663542,0.7829671,1
36,0,0,0,0.53724307,0.84016556,0.89185804,1
37,0,0,0,0.50307864,0.83989704,0.84108067,1
38,1,0,0,0.50907475,0.9286895,0.9183559,1
39,1,1,0,0.55837893,0.57554674,0.69913197,1
40,1,0,0,0.55345076,0.82221574,0.8325104,1
41,1,0,0,0.52274173,0.8040587,0.8561859,1
42,0,0,0,0.521888,0.7650013,0.75107414,1
43,1,0,0,0.5134499,0.8105879,0.7393821,1
44,1,0,0,0.5050027,0.71824837,0.84574527,1
45,0,0,0,0.51273733,0.908171,0.9254207,1
46,0,0,0,0.5109351,0.81236535,0.89028454,1
47,0,0,0,0.5039184,0.6050509,0.67724323,1
48,0,0,0,0.53404903,0.8289372,0.8797234,1
49,0,0,0,0.5437537,0.88768804,0.9086816,1
50,1,1,1,0.56348085,0.6300617,0.58556795,1
51,1,0,0,0.51743627,0.8547121,0.8710238,1
52,0,0,0,0.5078339,0.7384076,0.8161647,1
53,0,0,0,0.51382506,0.5928557,0.6166339,1
54,0,0,0,0.5163508,0.7705104,0.8742825,1
55,0,0,0,0.5324942,0.74861795,0.7852533,1
56,1,0,0,0.53109777,0.9368729,0.93549925,1
57,1,0,0,0.5277133,0.8319656,0.85423124,1
58,1,0,0,0.500796,0.63327265,0.8536687,1
59,1,0,0,0.5506014,0.8540555,0.8748292,1
60,1,1,0,0.55348676,0.5138518,0.6507375,1
61,0,1,1,0.5000044,0.69545513,0.6039651,1
62,1,0,0,0.5112893,0.87554926,0.9190535,1
63,1,0,0,0.5097464,0.8701086,0.91090053,1
64,1,0,0,0.5444601,0.70781654,0.86011755,1
65,1,0,0,0.5473888,0.7705549,0.66936123,1
66,0,0,0,0.52339673,0.8385165,0.8842769,1
67,0,0,0,0.5031541,0.86112344,0.8866417,1
68,1,0,0,0.51877195,0.6741423,0.744573,1
69,0,0,0,0.5349516,0.62851876,0.5669196,1
70,0,0,0,0.5269093,0.6727088,0.73720616,1
71,1,1,0,0.5491425,0.5386521,0.72794414,1
72,0,0,0,0.54258776,0.8560455,0.8722244,1
73,0,0,0,0.5336628,0.7703762,0.86619556,1
74,1,0,1,0.5066998,0.5080449,0.6353996,1
75,1,0,0,0.5317911,0.87145287,0.9053255,1
76,1,0,0,0.5205493,0.7990117,0.8572011,1
77,1,0,0,0.50704163,0.67579,0.7350256,1
78,1,0,0,0.59433484,0.84483606,0.8585274,1
79,1,1,0,0.5624995,0.5873441,0.6373536,1
80,1,1,0,0.50967604,0.503504,0.5539607,1
81,1,0,0,0.5358907,0.7938784,0.7014656,1
82,0,0,0,0.5139064,0.78365695,0.785613,1
83,0,0,0,0.5310556,0.83316016,0.8961339,1
84,0,0,0,0.5270273,0.7692312,0.840153,1
85,1,0,0,0.5122532,0.6277229,0.7702053,1
86,0,0,0,0.53095543,0.7928273,0.8285842,1
87,0,0,0,0.53220904,0.7846019,0.749736,1
88,1,0,0,0.5154939,0.8260241,0.87665856,1
89,0,0,0,0.53575134,0.75565755,0.7578607,1
90,0,0,0,0.5425342,0.643808,0.692619,1
91,1,0,0,0.5327705,0.5235336,0.714297,1
92,0,0,0,0.5243284,0.6599979,0.62893,1
93,0,0,0,0.51924086,0.7967075,0.8867455,1
94,0,0,0,0.52326685,0.88664156,0.9334245,1
95,0,1,1,0.52512604,0.5916487,0.66923934,1
96,0,0,0,0.525524,0.7010599,0.83417773,1
97,0,0,0,0.5201622,0.6783852,0.83272433,1
98,1,0,0,0.52065426,0.7709912,0.8544048,1
99,1,0,0,0.5460322,0.9256707,0.9101285,1
100,1,0,0,0.53624433,0.8023575,0.8888233,1
101,0,0,0,0.51573616,0.91749275,0.90950733,1
102,1,0,0,0.50060534,0.81760734,0.8547464,1
103,0,0,0,0.5256672,0.7447231,0.84818256,1
104,0,0,0,0.5033599,0.89388216,0.850515,1
105,0,0,0,0.529558,0.8071117,0.84543014,1
106,0,0,0,0.50405264,0.89001125,0.9186543,1
107,0,0,0,0.5001007,0.80178654,0.85511094,1
108,1,0,0,0.5315914,0.64731634,0.5654655,1
109,1,0,0,0.50609297,0.7352935,0.74900854,1
110,0,0,0,0.5369849,0.8249297,0.88903046,1
111,1,1,1,0.5728106,0.5538467,0.6635469,1
112,1,0,0,0.54201615,0.7922715,0.85415304,1
113,1,1,0,0.51670986,0.555052,0.5238988,1
114,1,0,0,0.5162515,0.82864326,0.8930344,1
115,1,0,0,0.51354796,0.8827235,0.9139104,1
116,0,0,0,0.5361531,0.7587263,0.81285733,1
117,1,0,0,0.53530854,0.7098355,0.8194591,1
118,0,0,0,0.5153977,0.90206194,0.9386388,1
119,1,0,0,0.54644686,0.7727397,0.85156494,1
120,1,0,0,0.5053142,0.8334812,0.87631303,1
121,1,0,0,0.50875485,0.7346687,0.82943237,1
122,0,0,0,0.50611156,0.85424614,0.896418,1
123,1,1,1,0.53029746,0.714786,0.60539955,1
124,1,0,0,0.5060731,0.76388884,0.75498,1
125,1,0,0,0.5874638,0.62713784,0.5965123,1
126,1,0,0,0.57773954,0.5323585,0.717862,1
127,1,1,1,0.56514543,0.70049316,0.6153324,1
128,0,0,0,0.5093013,0.59917927,0.51521873,1
129,0,0,0,0.5348519,0.8114089,0.86985683,1
130,0,0,0,0.51427406,0.8485768,0.87960434,1
131,1,0,0,0.53764826,0.7191143,0.88450694,1
132,1,0,0,0.5444105,0.6047205,0.60624474,1
133,1,0,0,0.5323574,0.8074866,0.8660283,1
134,1,0,0,0.51193327,0.6715111,0.7218888,1
135,0,0,0,0.5283416,0.7861615,0.8829718,1
136,0,0,0,0.57075924,0.79045075,0.85355866,1
137,1,0,0,0.52754104,0.6818882,0.71641207,1
138,1,0,0,0.5510979,0.561062,0.5121456,1
139,0,0,0,0.5184839,0.6177183,0.7882477,1
140,1,1,0,0.52155143,0.5980017,0.5549891,1
141,1,0,0,0.5478312,0.81784153,0.8768583,1
142,1,1,1,0.5430989,0.52341384,0.6688863,1
143,0,0,0,0.53544426,0.7912566,0.84704006,1
144,0,0,0,0.5011487,0.82910836,0.8577354,1
145,1,0,1,0.58654994,0.5307828,0.5101077,1
146,1,0,0,0.56041884,0.5459982,0.6654727,1
147,0,0,0,0.5007691,0.7442978,0.76125157,1
148,0,0,0,0.5009414,0.68721944,0.7810771,1
149,1,0,0,0.5076049,0.779104,0.7942854,1
150,1,0,0,0.5321402,0.82197154,0.89405257,1
151,1,0,0,0.50246483,0.8984615,0.90938723,1
152,0,0,0,0.55976516,0.9142677,0.94050056,1
153,1,0,0,0.5117471,0.8766263,0.9265624,1
154,0,0,0,0.5542978,0.82800394,0.67989373,1
155,1,0,0,0.50065315,0.7341368,0.84552467,1
156,1,0,0,0.5029326,0.85985625,0.8670189,1
157,1,1,1,0.5019137,0.7162033,0.7161003,1
158,0,0,0,0.52680504,0.8136478,0.86089593,1
159,1,0,0,0.50476664,0.778081,0.8636133,1
160,1,0,0,0.5049256,0.81163645,0.9017646,1
161,0,0,0,0.5147488,0.91646034,0.91851526,1
162,1,0,0,0.5285386,0.5256573,0.58776855,1
163,1,1,1,0.53358865,0.8154696,0.8415799,1
164,0,0,0,0.50855374,0.7409672,0.8490892,1
165,1,0,0,0.5718656,0.7150837,0.7435633,1
166,1,0,0,0.5457693,0.90190667,0.8939069,1
167,1,1,1,0.5230936,0.520363,0.500745,1
168,1,1,1,0.5230936,0.520363,0.500745,1
169,1,0,0,0.5224182,0.6330134,0.768804,1
170,1,0,0,0.5414455,0.81026477,0.8103452,1
171,1,0,0,0.5189126,0.61987835,0.8010535,1
172,0,0,0,0.50515485,0.72506255,0.770446,1
173,1,0,0,0.5010929,0.6904635,0.7741456,1
174,0,0,0,0.5105676,0.8283495,0.89459836,1
175,1,0,0,0.53214866,0.89160997,0.9315746,1
176,0,0,0,0.5185931,0.85239047,0.90844506,1
177,1,0,0,0.5282842,0.78871703,0.8244485,1
178,0,0,0,0.5233047,0.859791,0.8638747,1
179,0,0,0,0.53375536,0.75776964,0.7586197,1
180,0,0,0,0.52326006,0.6273756,0.591442,1
181,0,0,0,0.5292308,0.8555803,0.91082186,1
182,1,0,0,0.5391017,0.5759051,0.6206061,1
183,1,1,0,0.5312686,0.5774818,0.62379134,1
184,1,0,0,0.5519041,0.89013296,0.93218917,1
185,1,0,0,0.51091117,0.8720927,0.9237345,1
186,0,0,0,0.52795154,0.8988542,0.92889583,1
187,1,0,0,0.5528212,0.79809654,0.8214157,1
188,1,1,1,0.530354,0.763149,0.745825,1
189,1,0,0,0.5384444,0.8073368,0.87764037,1
190,1,1,1,0.543814,0.6906438,0.64215285,1
191,0,0,0,0.502285,0.8401896,0.8643796,1
192,1,0,0,0.54429257,0.814611,0.84508973,1
193,0,0,0,0.5059048,0.840922,0.8856182,1
194,1,0,0,0.54770005,0.7893863,0.8517284,1
195,1,0,0,0.5466924,0.78294915,0.8510329,1
196,0,0,0,0.5518434,0.87476635,0.9279514,1
197,1,0,0,0.5134547,0.6438065,0.80872923,1
198,1,0,0,0.5055438,0.6670509,0.8143205,1
199,0,0,1,0.5097179,0.61788577,0.6720351,1
200,1,1,1,0.5802704,0.66936904,0.76982296,1
201,1,0,0,0.51498586,0.894898,0.92149043,1
202,0,0,0,0.51565224,0.85913366,0.8724365,1
203,1,0,0,0.5240002,0.64707166,0.62346625,1
204,1,0,0,0.5068331,0.59932667,0.81573194,1
205,0,0,0,0.5083141,0.8196619,0.82436347,1
206,1,0,0,0.51600754,0.6645941,0.7600417,1
207,0,0,0,0.5121895,0.8352681,0.8348249,1
208,0,0,0,0.5047168,0.8277505,0.84887135,1
209,1,0,0,0.5191107,0.81602675,0.8917663,1
210,1,0,0,0.54314834,0.76230395,0.8437378,1
211,1,0,0,0.5623932,0.7616395,0.8391573,1
212,0,0,0,0.5170371,0.8938302,0.92279243,1
213,1,1,0,0.5314091,0.60166746,0.6004646,1
214,0,0,0,0.5459502,0.89821064,0.8987194,1
215,0,0,0,0.5189193,0.8675348,0.89794534,1
216,0,0,0,0.5438832,0.8183745,0.8818353,1
217,0,0,0,0.5437153,0.81915504,0.8199462,1
218,1,1,0,0.5185821,0.55934554,0.54536134,1
219,0,0,0,0.5117635,0.5174709,0.66969985,1
220,1,0,0,0.5491827,0.5448474,0.83653194,1
221,1,0,0,0.53831375,0.8450809,0.8840089,1
222,1,0,0,0.5102655,0.7983136,0.8588586,1
223,0,0,0,0.5115376,0.789442,0.7342763,1
224,1,1,1,0.5172552,0.639468,0.6781539,1
225,0,0,0,0.50052804,0.64529175,0.73969924,1
226,1,0,0,0.52738196,0.7467677,0.8437334,1
227,0,0,0,0.50251836,0.8447103,0.9113343,1
228,0,0,0,0.5128668,0.79556024,0.82257265,1
229,1,0,0,0.5346492,0.7841053,0.88143057,1
230,1,1,1,0.5306914,0.67937315,0.66355073,1
231,0,0,0,0.5176637,0.87239593,0.8947794,1
232,1,0,0,0.5009004,0.88129425,0.89982325,1
233,0,0,0,0.51567054,0.87020963,0.89990646,1
234,1,0,0,0.53313303,0.78665024,0.8676982,1
235,1,0,0,0.51743066,0.69591373,0.79485095,1
236,1,1,1,0.5139212,0.53132933,0.54978687,1
237,1,0,0,0.5379194,0.7005183,0.70124954,1
238,1,0,0,0.51143533,0.8494031,0.84337306,1
239,1,0,0,0.53809273,0.8381745,0.8869472,1
